DTSTART,DTEND,LOCATION,SUMMARY,DOZENT
2024-10-14T11:00:00+00:00,2024-10-14T12:45:00+00:00,Y13-L-11/13,Exercises Theoretical Astrophysics,Robert Feldmann
2024-10-21T11:00:00+00:00,2024-10-21T12:45:00+00:00,Y13-L-11/13,Exercises Theoretical Astrophysics,Robert Feldmann
2024-10-28T12:00:00+00:00,2024-10-28T13:45:00+00:00,Y13-L-11/13,Exercises Theoretical Astrophysics,Robert Feldmann
2024-11-04T12:00:00+00:00,2024-11-04T13:45:00+00:00,Y13-L-11/13,Exercises Theoretical Astrophysics,Robert Feldmann
2024-11-11T12:00:00+00:00,2024-11-11T13:45:00+00:00,Y13-L-11/13,Exercises Theoretical Astrophysics,Robert Feldmann
2024-11-18T12:00:00+00:00,2024-11-18T13:45:00+00:00,Y13-L-11/13,Exercises Theoretical Astrophysics,Robert Feldmann
2024-11-25T12:00:00+00:00,2024-11-25T13:45:00+00:00,Y13-L-11/13,Exercises Theoretical Astrophysics,Robert Feldmann
2024-12-02T12:00:00+00:00,2024-12-02T13:45:00+00:00,Y13-L-11/13,Exercises Theoretical Astrophysics,Robert Feldmann
2024-12-09T12:00:00+00:00,2024-12-09T13:45:00+00:00,Y13-L-11/13,Exercises Theoretical Astrophysics,Robert Feldmann
2024-12-16T12:00:00+00:00,2024-12-16T13:45:00+00:00,Y13-L-11/13,Exercises Theoretical Astrophysics,Robert Feldmann
2024-09-20T21:00:00+00:00,2024-09-20T21:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-09-27T21:00:00+00:00,2024-09-27T21:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-10-04T21:00:00+00:00,2024-10-04T21:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-10-11T21:00:00+00:00,2024-10-11T21:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-10-18T21:00:00+00:00,2024-10-18T21:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-10-25T21:00:00+00:00,2024-10-25T21:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-11-01T22:00:00+00:00,2024-11-01T22:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-11-08T22:00:00+00:00,2024-11-08T22:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-11-15T22:00:00+00:00,2024-11-15T22:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-11-22T22:00:00+00:00,2024-11-22T22:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-11-29T22:00:00+00:00,2024-11-29T22:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-12-06T22:00:00+00:00,2024-12-06T22:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-12-13T22:00:00+00:00,2024-12-13T22:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-12-20T22:00:00+00:00,2024-12-20T22:30:00+00:00,,Individual seminar work in computational science,Aurel Schneider
2024-09-19T13:00:00+00:00,2024-09-19T15:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-09-26T13:00:00+00:00,2024-09-26T15:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-10-03T13:00:00+00:00,2024-10-03T15:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-10-10T13:00:00+00:00,2024-10-10T15:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-10-17T13:00:00+00:00,2024-10-17T15:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-10-24T13:00:00+00:00,2024-10-24T15:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-10-31T14:00:00+00:00,2024-10-31T16:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-11-07T14:00:00+00:00,2024-11-07T16:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-11-14T14:00:00+00:00,2024-11-14T16:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-11-21T14:00:00+00:00,2024-11-21T16:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-11-28T14:00:00+00:00,2024-11-28T16:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-12-05T14:00:00+00:00,2024-12-05T16:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-12-12T14:00:00+00:00,2024-12-12T16:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-12-19T14:00:00+00:00,2024-12-19T16:00:00+00:00,Y35-F-32,Advanced Topics of Theoretical Cosmology,Julian Adamek
2024-09-19T08:15:00+00:00,2024-09-19T10:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-09-26T08:15:00+00:00,2024-09-26T10:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-10-03T08:15:00+00:00,2024-10-03T10:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-10-10T08:15:00+00:00,2024-10-10T10:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-10-17T08:15:00+00:00,2024-10-17T10:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-10-24T08:15:00+00:00,2024-10-24T10:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-10-31T09:15:00+00:00,2024-10-31T11:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-11-07T09:15:00+00:00,2024-11-07T11:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-11-14T09:15:00+00:00,2024-11-14T11:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-11-21T09:15:00+00:00,2024-11-21T11:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-11-28T09:15:00+00:00,2024-11-28T11:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-12-05T09:15:00+00:00,2024-12-05T11:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-12-12T09:15:00+00:00,2024-12-12T11:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
2024-12-19T09:15:00+00:00,2024-12-19T11:00:00+00:00,Y13-L-11/13,Proseminar Cosmology,Julian Adamek
